MES_REFERENCIA;COD_PERF_AGENTE;SIGLA_PERFIL_AGENTE;NOME_EMPRESARIAL;COD_PARCELA_CARGA;SIGLA_PARCELA_CARGA;CNPJ_CARGA;CIDADE;ESTADO_UF;RAMO_ATIVIDADE;SUBMERCADO;DATA_MIGRACAO;COD_PERF_AGENTE_CONECTADO;SIGLA_PERFIL_AGENTE_CONECTADO;CAPACIDADE_CARGA;CONSUMO_ACL;CONSUMO_CATIVO_PARC_LIVRE;CONSUMO_TOTAL
202412;116398;MOSAIC PEK CATALAO;MOSAIC FERTILIZANTES P&K LTDA.;7080;MOSAIC FERTILIZANTES;33931486001021;CATALÃO;GO;MINERAIS NÃO-METÁLICOS;SUDESTE;01/11/2003;15;CELG;20.5;11548.303963;0.0;11548.303963
202412;31307;COG-CPLEMGO INDUSTRIA;COOPERATIVA MISTA DOS PRODUTORES DE LEITE DE MORRINHOS;71766;COMPLEM-MORRINHOS;02667442001436;MORRINHOS;GO;COMÉRCIO;SUDESTE;01/01/2012;15;CELG;1.075;431.927933;0.0;431.927933
202412;70822;CRISTALINA CL;CRISTALINA ALIMENTOS LTDA;902661;CRISTALINA ALIMENTOS;10666522000180;CRISTALINA;GO;ALIMENTÍCIOS;SUDESTE;01/08/2016;15;CELG;5.0;793.017319;0.0;793.017319
202412;44803;TRD-CIFARMAGO LIVRE;CIFARMA CIENTIFICA FARMACEUTICA LTDA EM RECUPERACAO JUDICIAL;903116;CIFARMA CIENTIFICA;17562075000169;GOIÂNIA;GO;MANUFATURADOS DIVERSOS;SUDESTE;01/08/2016;15;CELG;1.05;470.712828;0.0;470.712828
202412;85644;HEINZ CL 514;HEINZ BRASIL S.A.;900937;HEINZ NG Nova Goiás;50955707001100;NERÓPOLIS;GO;ALIMENTÍCIOS;SUDESTE;01/07/2016;15;CELG;2.5;1140.952868;0.0;1140.952868
202412;71995;CARAMURU S SIMAO;CARAMURU ALIMENTOS  S/A;901092;CARAMURU SAO SIMAO;00080671000371;SÃO SIMÃO;GO;ALIMENTÍCIOS;SUDESTE;01/07/2016;15;CELG;3.7;2456.533551;0.0;2456.533551
202412;86633;SYNGENTA S;SYNGENTA SEEDS LTDA;897687;SYNGENTA FORMOSA;28403532003295;FORMOSA;GO;ALIMENTÍCIOS;SUDESTE;01/01/2016;15;CELG;2.65;1810.487336;0.0;1810.487336
202412;45355;CICOPAL CL 514;CICOPAL INDUSTRIA E COMERCIO DE PRODUTOS ALIMENTICIOS E HIGIENE PESSOAL LTDA;908469;CICOPAL;01121175000110;SENADOR CANEDO;GO;ALIMENTÍCIOS;SUDESTE;01/04/2017;15;CELG;0.8;346.787103;0.0;346.787103
202412;99125;SHOPPING BRV CL 514;BURITI SHOPPING RIO VERDE;905023;SHOP BURITI RIO VERD;24130714000182;RIO VERDE;GO;SERVIÇOS;SUDESTE;01/10/2016;15;CELG;1.61;620.627362;0.0;620.627362
202412;45640;SHOPPING AGUAS LINDAS CL 514;AGUAS LINDAS SHOPPING;905806;SHOP AGUAS LINDAS;24157581000138;ÁGUA LINDAS DE GOIÁS;GO;SERVIÇOS;SUDESTE;01/11/2016;15;CELG;0.7;242.500043;0.0;242.500043
