MES_REFERENCIA;COD_PERF_AGENTE;SIGLA_PERFIL_AGENTE;NOME_EMPRESARIAL;COD_PARCELA_CARGA;SIGLA_PARCELA_CARGA;CNPJ_CARGA;CIDADE;ESTADO_UF;RAMO_ATIVIDADE;SUBMERCADO;DATA_MIGRACAO;COD_PERF_AGENTE_CONECTADO;SIGLA_PERFIL_AGENTE_CONECTADO;CAPACIDADE_CARGA;CONSUMO_ACL;CONSUMO_CATIVO_PARC_LIVRE;CONSUMO_TOTAL
202607;99234;COAPIL;COOPERATIVA AGROPECUARIA MISTA DE PIRACANJUBA - COAPIL;942365;COAPIL;02447928000144;PIRACANJUBA;GO;COMÉRCIO;SUDESTE;01/02/2021;15;CELG;0.8;76.854351;0.0;76.854351
202607;99611;DAUS CL 514;DAUS INDUSTRIA DE ALIMENTOS S.A.;909739;DAUS;04865228000103;RIO VERDE;GO;ALIMENTÍCIOS;SUDESTE;01/07/2017;15;CELG;1.545;747.211102;0.0;747.211102
202607;99292;COMIGO-MATRIZ LIVRE;COOPERATIVA AGROINDUSTRIAL DOS PRODUTORES RURAIS DO SUDOESTE GOIANO;1001673;COMIGO SERRANÓPOLIS;02077618005730;SERRANÓPOLIS;GO;SERVIÇOS;SUDESTE;01/02/2025;15;CELG;1.0;8.166642;0.0;8.166642
202607;198239;AGUAS LINDAS PART CL;AGUAS LINDAS PARTICIPACOES E EMPREENDIMENTOS LTDA;905806;AGUAS LINDAS PARTICI;12541540000161;ÁGUA LINDAS DE GOIÁS;GO;SERVIÇOS;SUDESTE;01/11/2016;15;CELG;0.635;209.258937;0.0;209.258937
202607;48657;SANEAGO LIVRE;SANEAMENTO DE GOIAS S/A;951019;EEAB ETA e EEAT - Ja;01616929000102;JATAÍ;GO;SANEAMENTO;SUDESTE;01/03/2022;15;CELG;0.753;522.838475;0.0;522.838475
202607;48657;SANEAGO LIVRE;SANEAMENTO DE GOIAS S/A;959429;SANEAGO - EEAT Vila;01616929000102;GOIÂNIA;GO;SANEAMENTO;SUDESTE;01/03/2023;15;CELG;1.205;625.715396;0.0;625.715396
202607;30493;SANEAGO;SANEAMENTO DE GOIAS S/A;981368;SANEAGO - UC 1060003;01616929000102;CRISTALINA;GO;SANEAMENTO;SUDESTE;01/07/2024;15;CELG;0.238;133.228057;0.0;133.228057
202607;30493;SANEAGO;SANEAMENTO DE GOIAS S/A;977812;SANEAGO - UC 2960089;01616929000102;PLANALTINA;GO;SANEAMENTO;SUDESTE;01/05/2024;15;CELG;0.565;368.672711;0.0;368.672711
202607;44979;BISNAGO CL;BISNAGO INDUSTRIA DE EMBALAGENS LTDA;905826;Bisnago Industria de;10268112000181;ANÁPOLIS;GO;METALURGIA E PRODUTOS DE METAL;SUDESTE;01/11/2016;15;CELG;1.18;487.606959;0.0;487.606959
202607;93905;COMIGO-MATRIZ ESPECIAL;COOPERATIVA AGROINDUSTRIAL DOS PRODUTORES RURAIS DO SUDOESTE GOIANO;951473;COMIGO LOJA JATAI;02077618002390;JATAÍ;GO;COMÉRCIO;SUDESTE;01/04/2022;15;CELG;0.13;16.774574;0.0;16.774574
202607;154246;LOJAS AVENIDA SE RAIZEN;LOJAS AVENIDA S.A;1021032;LOJAS AVENIDA - 1405;00819201000620;GOIÂNIA;GO;COMÉRCIO;SUDESTE;01/12/2025;15;CELG;0.07;10.303065;0.0;10.303065
202607;60793;GALB CD SE/CO;GERDAU ACOS LONGOS S.A.;963102;GERDAU - APRCD DE GO;07358761000401;APARECIDA DE GOIÂNIA;GO;METALURGIA E PRODUTOS DE METAL;SUDESTE;01/08/2023;15;CELG;0.19;53.345649;0.0;53.345649
202607;42300;TAC GOIANIA - LIVRE;TAC LOGISTICA LTDA;958438;TAC GOIANIA - UC 100;01456021000340;APARECIDA DE GOIÂNIA;GO;TRANSPORTE;SUDESTE;01/01/2023;15;CELG;0.5;98.668174;0.0;98.668174
202607;51265;VTAL SUDESTE;V.TAL - REDE NEUTRA DE TELECOMUNICACOES S.A.;965860;ID UC 19580 - UC 199;02041460001084;CATALÃO;GO;TELECOMUNICAÇÕES;SUDESTE;01/10/2023;15;CELG;0.069;17.978872;0.0;17.978872
202607;51265;VTAL SUDESTE;V.TAL - REDE NEUTRA DE TELECOMUNICACOES S.A.;950252;UC 500027006 - SÃO L;02041460001084;SÃO LUÍS DE MONTES BELOS;GO;TELECOMUNICAÇÕES;SUDESTE;01/02/2022;15;CELG;0.057;16.611813;0.0;16.611813
202607;209987;MILHAO - APE CONSUMO;MILHAO INDUSTRIA E COMERCIO DE INGREDIENTES E CEREAIS S.A.;945294;MILHAO 34,5;08647384000140;GOIÂNIA;GO;ALIMENTÍCIOS;SUDESTE;01/07/2021;15;CELG;4.2;2032.48837;0.0;2032.48837
202607;101281;BARAO SUPERMERCADOS;BARAO ESPECIALIDADES & DISTRIBUIDORA DE ALIMENTOS SA EM RECUPERACAO JUDICIAL;965894;Barao Supermer965894;28790260000127;GOIÂNIA;GO;COMÉRCIO;SUDESTE;01/10/2023;15;CELG;0.16;0.292625;0.0;0.292625
202607;96164;CENTRO OESTE OLEO QUIMICA;CENTRO OESTE OLEO QUIMICA LTDA;938155;PRODUTOS OESTE;08251405000104;LEOPOLDO DE BULHÕES;GO;QUÍMICOS;SUDESTE;01/08/2020;15;CELG;0.7;195.404167;0.0;195.404167
202607;95859;SUPERMERCADO PRO BRASIL;SUPERMERCADO PRO BRASIL LTDA;941375;SUPERMERCADO P941375;37629995000164;GOIÂNIA;GO;COMÉRCIO;SUDESTE;01/01/2021;15;CELG;0.19;78.069782;0.0;78.069782
202607;95859;SUPERMERCADO PRO BRASIL;SUPERMERCADO PRO BRASIL LTDA;955798;SUPERMERCADO P955798;37629995000164;GOIÂNIA;GO;COMÉRCIO;SUDESTE;01/10/2022;15;CELG;0.11;49.426874;0.0;49.426874
202607;210928;USINA PANORAMA;USINA PANORAMA S/A;1027156;USINA PANORAMA;08704527000109;ITUMBIARA;GO;MINERAIS NÃO-METÁLICOS;SUDESTE;01/06/2026;15;CELG;1.5;20.994767;0.0;20.994767
