mineral_id,company_id,operation_id,year,production_t,production_basis,data_nature,source_id
MIN_001,COM_DEMO_001,OP_DEMO_NI_001,2018,19394.906,beneficiada,estimated_demo,SRC_DEMO_001
MIN_001,COM_DEMO_001,OP_DEMO_NI_001,2019,19883.689,beneficiada,estimated_demo,SRC_DEMO_001
MIN_001,COM_DEMO_001,OP_DEMO_NI_001,2020,20383.485,beneficiada,estimated_demo,SRC_DEMO_001
MIN_001,COM_DEMO_001,OP_DEMO_NI_001,2021,20400.957,beneficiada,estimated_demo,SRC_DEMO_001
MIN_001,COM_DEMO_001,OP_DEMO_NI_001,2022,20915.094,beneficiada,estimated_demo,SRC_DEMO_001
MIN_001,COM_DEMO_001,OP_DEMO_NI_001,2023,21440.816,beneficiada,estimated_demo,SRC_DEMO_001
MIN_001,COM_DEMO_001,OP_DEMO_NI_001,2024,21459.194,beneficiada,estimated_demo,SRC_DEMO_001
MIN_001,COM_DEMO_001,OP_DEMO_NI_001,2025,22000,beneficiada,estimated_demo,SRC_DEMO_001
MIN_001,COM_DEMO_002,OP_DEMO_NI_002,2018,12418.53,beneficiada,estimated_demo,SRC_DEMO_001
MIN_001,COM_DEMO_002,OP_DEMO_NI_002,2019,12668.092,beneficiada,estimated_demo,SRC_DEMO_001
MIN_001,COM_DEMO_002,OP_DEMO_NI_002,2020,12616.616,beneficiada,estimated_demo,SRC_DEMO_001
MIN_001,COM_DEMO_002,OP_DEMO_NI_002,2021,12870.983,beneficiada,estimated_demo,SRC_DEMO_001
MIN_001,COM_DEMO_002,OP_DEMO_NI_002,2022,13129.638,beneficiada,estimated_demo,SRC_DEMO_001
MIN_001,COM_DEMO_002,OP_DEMO_NI_002,2023,13076.286,beneficiada,estimated_demo,SRC_DEMO_001
MIN_001,COM_DEMO_002,OP_DEMO_NI_002,2024,13339.921,beneficiada,estimated_demo,SRC_DEMO_001
MIN_001,COM_DEMO_002,OP_DEMO_NI_002,2025,13608,beneficiada,estimated_demo,SRC_DEMO_001
MIN_002,COM_DEMO_003,OP_DEMO_CU_001,2018,28800.231,conteudo_mineral,estimated_demo,SRC_DEMO_001
MIN_002,COM_DEMO_003,OP_DEMO_CU_001,2019,29438.945,conteudo_mineral,estimated_demo,SRC_DEMO_001
MIN_002,COM_DEMO_003,OP_DEMO_CU_001,2020,30089.899,conteudo_mineral,estimated_demo,SRC_DEMO_001
MIN_002,COM_DEMO_003,OP_DEMO_CU_001,2021,30026.854,conteudo_mineral,estimated_demo,SRC_DEMO_001
MIN_002,COM_DEMO_003,OP_DEMO_CU_001,2022,30692.772,conteudo_mineral,estimated_demo,SRC_DEMO_001
MIN_002,COM_DEMO_003,OP_DEMO_CU_001,2023,31371.451,conteudo_mineral,estimated_demo,SRC_DEMO_001
MIN_002,COM_DEMO_003,OP_DEMO_CU_001,2024,31305.72,conteudo_mineral,estimated_demo,SRC_DEMO_001
MIN_002,COM_DEMO_003,OP_DEMO_CU_001,2025,32000,conteudo_mineral,estimated_demo,SRC_DEMO_001
MIN_002,COM_DEMO_004,OP_DEMO_CU_002,2018,17255.284,conteudo_mineral,estimated_demo,SRC_DEMO_001
MIN_002,COM_DEMO_004,OP_DEMO_CU_002,2019,17567.26,conteudo_mineral,estimated_demo,SRC_DEMO_001
MIN_002,COM_DEMO_004,OP_DEMO_CU_002,2020,17461.298,conteudo_mineral,estimated_demo,SRC_DEMO_001
MIN_002,COM_DEMO_004,OP_DEMO_CU_002,2021,17778.136,conteudo_mineral,estimated_demo,SRC_DEMO_001
MIN_002,COM_DEMO_004,OP_DEMO_CU_002,2022,18099.565,conteudo_mineral,estimated_demo,SRC_DEMO_001
MIN_002,COM_DEMO_004,OP_DEMO_CU_002,2023,17990.393,conteudo_mineral,estimated_demo,SRC_DEMO_001
MIN_002,COM_DEMO_004,OP_DEMO_CU_002,2024,18316.832,conteudo_mineral,estimated_demo,SRC_DEMO_001
MIN_002,COM_DEMO_004,OP_DEMO_CU_002,2025,18648,conteudo_mineral,estimated_demo,SRC_DEMO_001
MIN_003,COM_DEMO_005,OP_DEMO_NB_001,2018,52174.889,beneficiada,estimated_demo,SRC_DEMO_001
